id,wiki_id,name,status,type,lat,lng,country,weight,nr_tokens_norm
234523,36109,Tiruchirappalli,usable,city,10.79048,78.70467,India,50986,0.041345160702351294
361332,36113,Tirunelveli,outline,city,8.731944,77.700278,India,41361,0.03590740628227718
352961,36115,Tirupati,outline,park,13.65,79.42,India,60551,0.046418372926666264
208039,36117,Tiruppur,outline,city,11.1875,77.57722220000002,India,4760,0.008171820888267817
571999,36118,Tirur,outline,city,10.91463,75.92209,India,2455,0.005103590740628228
713511,36119,Tiruttani,usable,city,13.1833,79.6333,India,14733,0.017832189075885532
406580,36120,Tiruvallur,outline,city,13.15,79.916666666667,India,9769,0.013457682726775624
487176,36121,Tiruvannamalai,outline,city,12.22,79.07,India,18203,0.02059663406039249
644768,36122,Tiruvarur,outline,city,10.766666666667,79.65,India,192854,0.10097818822528708
639788,36123,Tiruvuru,outline,city,17.1,80.633,India,5248,0.00874901269821982
190925,36124,Tisbury,usable,city,41.45610900000001,-70.607176,United States of America,14331,0.01749802539643964
164284,36128,Tissamaharama,outline,city,6.2833,81.2833,Sri Lanka,2236,0.0047694270611823315
308790,36132,Titel,outline,city,45.2,20.3,Serbia,2807,0.005620025517953703
447840,36134,Titisee-Neustadt,usable,city,47.9122,8.2147,Germany,1397,0.003372015310772222
477791,36136,Titusville (Florida),usable,city,28.591111,-80.82,United States of America,3240,0.006227595844218968
104485,36137,Titusville (New Jersey),outline,city,40.30944,-74.88056,United States of America,1465,0.0034935293760252747
887810,36138,Titusville (Pennsylvania),outline,city,41.629167,-79.674444,United States of America,4120,0.007381979464122972
911249,36139,Tivat,outline,city,42.43,18.7,Montenegro,3330,0.0063491099094720215
826676,36140,Tiverton (Rhode Island),outline,city,41.62583,-71.21333,United States of America,19440,0.021538368066103653
503884,36142,Tivoli,outline,city,41.96,12.8,Italy,4461,0.007807278692508658
582513,36143,Tiwanaku,outline,park,-16.554722222222,-68.67333333333299,Bolivia,30631,0.029315268242299047
268583,36144,Tiwi Islands,outline,city,-11.6,130.8167,Australia,4735,0.008141442371954554
631763,36154,Toamasina,outline,city,-18.15,49.416667,Madagascar,4535,0.007898414241448447
511962,36156,Toba,outline,city,34.4833,136.85,Japan,3881,0.00707819430099034
456767,36158,Tobacco Caye,guide,city,16.8983,-88.0619,Belize,27360,0.027158393584057354
125149,36160,Tobelo,outline,city,1.7319444444444,128.00777777778,Indonesia,2744,0.005528889969013914
